"it","objective","sim.id","hlim3h","hlim3l","adcrh","adcrl","ksat_seq1","ksat_seq2","ksat_seq3","ksat_seq4","ksat_seq5"
20,0.518326403735654,"SEQ_F1_S2",-6495.51026849589,-8032.00508332515,0.516084040935952,0.168517862933928,34.6020544311724,22.9840365727424,62.6664280355917,92.5015094575377,76.7639936416874
21,0.519024594913472,"SEQ_F1_S2",-3074.78316845468,-6805.40798866004,0.466648439316648,0.14863273853027,20.4528275885515,17.2887258866826,62.2445488726093,85.1057345334945,68.4841535507384
22,0.518849472693291,"SEQ_F1_S2",-1981.08924526384,-2648.78391138641,0.384685245463944,0.336946878447498,19.716328062106,35.6505145274192,58.8078609669091,92.7257079046068,85.2567366552542
23,0.518727144588874,"SEQ_F1_S2",-2346.98427621535,-2859.65648473581,0.250987388034577,0.103143113109366,13.6722746806765,89.232581982237,74.502279056204,84.8936378690029,83.8773290409641
24,0.510682763983702,"SEQ_F1_S2",-602.958279897697,-710.643897649526,0.226564278373454,0.0521704967272293,24.8611159150958,70.5751208241627,61.5793175909945,88.0662223433458,83.6040632272617
25,0.498001257553667,"SEQ_F1_S2",-1775.3718890709,-2079.98311274705,0.429542751785417,0.0555585190706523,29.1532062509903,48.2016368138201,47.9033610836638,73.8496587636767,49.1992015046837
26,0.500832552080464,"SEQ_F1_S2",-3034.04008104506,-3582.51487663836,0.632047607582491,0.106836752157445,34.4668438230628,43.1270410673988,82.4045234661141,82.6597562365105,39.6534599098921
27,0.541919337659325,"SEQ_F1_S2",-3117.21187797402,-4365.12940647144,0.75000339691722,0.165599753495616,5.53112364485977,56.4845835596529,78.6938997238159,91.0855058869193,61.0804990121425
28,0.503296238899249,"SEQ_F1_S2",-2940.60807495924,-4427.04832669864,0.753110981441509,0.0579264013757789,17.5017588518606,26.7761931856985,88.787451444583,90.5750753338194,34.7751953271254
29,0.500411208537542,"SEQ_F1_S2",-1404.37512767462,-2534.08116486628,0.731597778188931,0.0130269486951006,27.3574987218762,10.3416867022893,77.4042041642894,93.3696602814176,34.5344879367181
30,0.47724084797301,"SEQ_F1_S2",-732.716675380643,-4804.65447075835,0.654289689821516,0.113166486830031,48.996850061055,11.2898047708254,62.9228529856868,80.302662546465,23.733106602772
31,0.487070585603627,"SEQ_F1_S2",-5015.68590800891,-5546.64783877204,0.363183592203473,0.149580015951891,47.5281857357842,13.6115800743212,24.2350967855403,76.3059513500558,28.3011461798944
