LAT,LON,SOILTYPE,Soil_ID,TYPE,SLLL,SDUL,SSAT,SRGF,SSKS,SBDM,SLOC,SLCL,SLSI,SLCF,SLNI,SLHW,SLHB,SCEC
-22.567,-47.583,Haplic_Ferralsol,*WI_FRBR097,INP1,0.209,0.3725,0.4995,1,0.81,1.23,3.275,64,18.5,-99,0.25,5.7,4.85,14.65
-20.533,-47.367,Humic_Cambisol,*WI_CMBR100,INP1,0.05,0.185,0.4135,0.82,6.32,1.445,1.23,17,10.5,-99,0.07,4.6,4.15,2.95
-19.283,-46.15,Geric_Ferralsol,*WI_FRBR102,INP1,0.172,0.35,0.533,0.85,1.14,1.105,3.495,33,18,-99,0.185,5.05,4.45,8.4
-7.667,-72.65,Eutric_Gleysol,*WI_GLBR014,INP1,0.1985,0.353,0.5085,0.84,0.77,1.22,2.21,56.5,43.5,-99,0.425,4.35,3.9,68.4
-22.917,-47.05,Ferralic_Arenosol,*WI_ARBR058,INP1,0.032,0.124,0.384,1,16.84,1.55,0.5,9,4,-99,0.04,4.5,-99,2.5
-19.154,-48.165,Ferralic_Arenosol,*WI_ARBR091,INP1,0.07,0.16,0.42,1,9.29,1.48,0.66,10,6,-99,0.05,4.8,4.3,1.6
-24.3,-51.717,Humic_Ferralsol,*WI_FRBR076,INP1,0.27,0.4,0.62,0.8,1.08,0.93,2.58,82,16,-99,0.23,4.2,3.8,12.2
-15.611,-47.709,Rhodic_Ferralsol,*WI_FRBR081,INP1,0.1955,0.349,0.5295,0.875,1.075,1.165,2.24,43.5,23.5,12,0.125,4.15,4,7
-15.608,-47.75,Geric_Ferralsol,*WI_FRBR082,INP1,0.198,0.3225,0.5815,0.87,3.16,0.965,2.92,57,27.5,-99,0.17,4.6,4.3,5.1
-19.954,-48.688,Geric_Ferralsol,*WI_FRBR092,INP1,0.1085,0.206,0.458,0.88,5.175,1.4,1.07,24,15.5,-99,0.075,4.9,4.25,3.6
-15.9,-47.833,Geric_Ferralsol,*WI_FRBR093,INP1,0.27,0.35,0.6,1,2.22,0.9,2.89,69,23,-99,0.22,4.1,4,11.6
-21.258,-47.792,Haplic_Lixisol,*WI_LXBR099,INP1,0.179,0.35,0.416,1,0.16,1.46,2.32,36,44,-99,0.21,6.1,4.9,14.4
-18.433,-49.183,Haplic_Lixisol,*WI_LXBR105,INP1,0.183,0.353,0.554,0.78,1.19,1.09,2.78,41,41,-99,0.23,6.6,5.8,17.6
-16.4,-49,Haplic_Lixisol,*WI_LXBR108,INP1,0.172,0.35,0.497,0.79,0.77,1.19,3.97,35,16,-99,0.27,5.6,5,11.6
-11.883,-49.667,Humic_Plinthosol,*WI_PTBR094,INP1,0.43,0.53,0.61,1,0.07,0.94,6.55,53,39,-99,0.38,5,4.4,20.6
