Date,year,doy,dap,value,depth_id,depth,treat,M_ID,meas_ID,type,sub_type,units
01/22/2015,2015,22,191,28.7409375,TS1,1,SP,6,stemp,msr,NA,°C
01/23/2015,2015,23,192,28.07458333,TS1,1,SP,6,stemp,msr,NA,°C
01/24/2015,2015,24,193,28.27020833,TS1,1,SP,6,stemp,msr,NA,°C
01/25/2015,2015,25,194,28.37385417,TS1,1,SP,6,stemp,msr,NA,°C
01/26/2015,2015,26,195,27.24364583,TS1,1,SP,6,stemp,msr,NA,°C
01/27/2015,2015,27,196,27.88708333,TS1,1,SP,6,stemp,msr,NA,°C
01/28/2015,2015,28,197,28.16635417,TS1,1,SP,6,stemp,msr,NA,°C
01/29/2015,2015,29,198,28.0403125,TS1,1,SP,6,stemp,msr,NA,°C
01/30/2015,2015,30,199,28.2646875,TS1,1,SP,6,stemp,msr,NA,°C
01/31/2015,2015,31,200,28.33020833,TS1,1,SP,6,stemp,msr,NA,°C
02/01/2015,2015,32,201,28.839375,TS1,1,SP,6,stemp,msr,NA,°C
02/02/2015,2015,33,202,28.58854167,TS1,1,SP,6,stemp,msr,NA,°C
02/03/2015,2015,34,203,27.6890625,TS1,1,SP,6,stemp,msr,NA,°C
02/04/2015,2015,35,204,26.99208333,TS1,1,SP,6,stemp,msr,NA,°C
02/05/2015,2015,36,205,26.06666667,TS1,1,SP,6,stemp,msr,NA,°C
02/06/2015,2015,37,206,25.713125,TS1,1,SP,6,stemp,msr,NA,°C
02/07/2015,2015,38,207,26.44708333,TS1,1,SP,6,stemp,msr,NA,°C
02/08/2015,2015,39,208,27.15145833,TS1,1,SP,6,stemp,msr,NA,°C
02/09/2015,2015,40,209,27.85916667,TS1,1,SP,6,stemp,msr,NA,°C
02/10/2015,2015,41,210,27.49729167,TS1,1,SP,6,stemp,msr,NA,°C
02/11/2015,2015,42,211,27.58979167,TS1,1,SP,6,stemp,msr,NA,°C
02/12/2015,2015,43,212,28.3225,TS1,1,SP,6,stemp,msr,NA,°C
02/13/2015,2015,44,213,27.32833333,TS1,1,SP,6,stemp,msr,NA,°C
02/14/2015,2015,45,214,27.0853125,TS1,1,SP,6,stemp,msr,NA,°C
02/15/2015,2015,46,215,26.67083333,TS1,1,SP,6,stemp,msr,NA,°C
02/16/2015,2015,47,216,26.3525,TS1,1,SP,6,stemp,msr,NA,°C
02/17/2015,2015,48,217,26.67614583,TS1,1,SP,6,stemp,msr,NA,°C
02/18/2015,2015,49,218,26.27822917,TS1,1,SP,6,stemp,msr,NA,°C
02/19/2015,2015,50,219,26.99135417,TS1,1,SP,6,stemp,msr,NA,°C
02/20/2015,2015,51,220,27.15322917,TS1,1,SP,6,stemp,msr,NA,°C
02/21/2015,2015,52,221,27.98114583,TS1,1,SP,6,stemp,msr,NA,°C
02/22/2015,2015,53,222,27.89614583,TS1,1,SP,6,stemp,msr,NA,°C
02/23/2015,2015,54,223,27.99322917,TS1,1,SP,6,stemp,msr,NA,°C
02/24/2015,2015,55,224,28.26197917,TS1,1,SP,6,stemp,msr,NA,°C
02/25/2015,2015,56,225,26.991875,TS1,1,SP,6,stemp,msr,NA,°C
02/26/2015,2015,57,226,26.70385417,TS1,1,SP,6,stemp,msr,NA,°C
02/27/2015,2015,58,227,27.13364583,TS1,1,SP,6,stemp,msr,NA,°C
02/28/2015,2015,59,228,26.4984375,TS1,1,SP,6,stemp,msr,NA,°C
03/01/2015,2015,60,229,26.6190625,TS1,1,SP,6,stemp,msr,NA,°C
03/02/2015,2015,61,230,26.85395833,TS1,1,SP,6,stemp,msr,NA,°C
03/03/2015,2015,62,231,27.17333333,TS1,1,SP,6,stemp,msr,NA,°C
03/04/2015,2015,63,232,27.47427083,TS1,1,SP,6,stemp,msr,NA,°C
03/05/2015,2015,64,233,26.84650794,TS1,1,SP,6,stemp,msr,NA,°C
03/06/2015,2015,65,234,27.02368421,TS1,1,SP,6,stemp,msr,NA,°C
03/07/2015,2015,66,235,26.34916667,TS1,1,SP,6,stemp,msr,NA,°C
03/08/2015,2015,67,236,25.69510417,TS1,1,SP,6,stemp,msr,NA,°C
03/09/2015,2015,68,237,25.68875,TS1,1,SP,6,stemp,msr,NA,°C
03/10/2015,2015,69,238,25.854375,TS1,1,SP,6,stemp,msr,NA,°C
03/11/2015,2015,70,239,26.12666667,TS1,1,SP,6,stemp,msr,NA,°C
03/12/2015,2015,71,240,25.415,TS1,1,SP,6,stemp,msr,NA,°C
03/13/2015,2015,72,241,24.91085714,TS1,1,SP,6,stemp,msr,NA,°C
08/21/2014,2014,233,37,19.11625,TS2,5,CP,5,stemp,msr,NA,°C
08/22/2014,2014,234,38,19.29,TS2,5,CP,5,stemp,msr,NA,°C
08/23/2014,2014,235,39,19.68208333,TS2,5,CP,5,stemp,msr,NA,°C
08/24/2014,2014,236,40,19.6646875,TS2,5,CP,5,stemp,msr,NA,°C
08/25/2014,2014,237,41,19.73833333,TS2,5,CP,5,stemp,msr,NA,°C
08/26/2014,2014,238,42,20.54802083,TS2,5,CP,5,stemp,msr,NA,°C
