# Measured: Groundwaterlevel(cm_below_SoilSurface),
# Location: Andelst
# "Reference: Smelt et al, ",
"Date","property","value"
1998-12-13,"SumDRDCD2",3.1859
1998-12-14,"SumDRDCD2",0.1872
1998-12-15,"SumDRDCD2",0.1538
1998-12-16,"SumDRDCD2",3.5161
1998-12-17,"SumDRDCD2",0.6754
1998-12-18,"SumDRDCD2",0.4764
1998-12-19,"SumDRDCD2",2.2731
1998-12-20,"SumDRDCD2",3.1055
1998-12-21,"SumDRDCD2",0.5696
1998-12-22,"SumDRDCD2",0.3373
1998-12-23,"SumDRDCD2",0.3148
1998-12-24,"SumDRDCD2",0.1708
1998-12-25,"SumDRDCD2",0.3161
1998-12-26,"SumDRDCD2",4.8006
1998-12-27,"SumDRDCD2",1.4419
1998-12-28,"SumDRDCD2",3.829
1998-12-29,"SumDRDCD2",1.2975
1998-12-30,"SumDRDCD2",0.5923
1998-12-31,"SumDRDCD2",0.2939
1999-01-01,"SumDRDCD2",0.0701
1999-01-03,"SumDRDCD2",2.1495
1999-01-04,"SumDRDCD2",4.1968
1999-01-05,"SumDRDCD2",2.5936
1999-01-06,"SumDRDCD2",1.0832
1999-01-07,"SumDRDCD2",0.3092
1999-01-08,"SumDRDCD2",0.407
1999-01-09,"SumDRDCD2",0.3733
1999-01-10,"SumDRDCD2",0.0585
1999-01-13,"SumDRDCD2",0.1557
1999-01-14,"SumDRDCD2",2.8225
1999-01-15,"SumDRDCD2",1.5652
1999-01-16,"SumDRDCD2",3.426
1999-01-17,"SumDRDCD2",4.13
1999-01-18,"SumDRDCD2",0.6483
1999-01-19,"SumDRDCD2",0.6903
1999-01-20,"SumDRDCD2",0.5907
1999-01-21,"SumDRDCD2",0.142
1999-01-25,"SumDRDCD2",0.0659
1999-01-28,"SumDRDCD2",0.3771
1999-01-29,"SumDRDCD2",0.0056
1999-02-16,"SumDRDCD2",0.547
1999-02-17,"SumDRDCD2",0.019
1999-02-19,"SumDRDCD2",0.1405
1999-02-20,"SumDRDCD2",0.0931
1999-02-21,"SumDRDCD2",0.2645
1999-02-22,"SumDRDCD2",2.0406
1999-02-23,"SumDRDCD2",3.0241
1999-02-24,"SumDRDCD2",0.5359
1999-02-25,"SumDRDCD2",0.3281
1999-02-26,"SumDRDCD2",0.5354
1999-02-27,"SumDRDCD2",0.4609
1999-02-28,"SumDRDCD2",0.5314
1999-03-01,"SumDRDCD2",8.1054
1999-03-02,"SumDRDCD2",15.6582
1999-03-03,"SumDRDCD2",9.7599
1999-03-04,"SumDRDCD2",2.9953
1999-03-05,"SumDRDCD2",1.5855
1999-03-06,"SumDRDCD2",0.737
1999-03-07,"SumDRDCD2",0.4226
1999-03-08,"SumDRDCD2",1.1929
1999-03-09,"SumDRDCD2",2.0415
1999-03-10,"SumDRDCD2",1.9998
1999-03-11,"SumDRDCD2",1.4733
1999-03-12,"SumDRDCD2",1.6373
1999-03-13,"SumDRDCD2",2.7078
1999-03-14,"SumDRDCD2",1.104
1999-03-15,"SumDRDCD2",0.9029
1999-03-16,"SumDRDCD2",0.2658
1999-03-27,"SumDRDCD2",0.0017
1999-03-28,"SumDRDCD2",0.0132
1999-03-29,"SumDRDCD2",0.0972
1999-03-30,"SumDRDCD2",0.2036
1999-03-31,"SumDRDCD2",0.3433
1999-04-01,"SumDRDCD2",0.2897
1999-04-02,"SumDRDCD2",1.097
1999-04-03,"SumDRDCD2",0.0347
